x,j,-epsilon1*,epsilon2*,j1*,j2*,zeta*^2,n_t,n_parts
3.36,1.0,0.0549849478140077,0.17910115722913658,-0.005333580296624546,0.33223835238806687,0.02878264861023955,8.153479444809209e-05,"{'29a': 7.918889610762961, '29b': 0.09059421605343411, '29c': 8.153479444809209e-05, '29d': 0.6086908546329215, 'j_min': 0.02592078517329288}"
3.36,0.401,0.18670984058528586,0.919615052486014,-17.867218919383465,6.5040911484429245,0.006867795742759551,0.00023638872723292904,"{'29a': 0.3003647269088088, '29b': 0.00023638872723292904, '29c': 0.0013912601807999504, '29d': 0.0015882653735877857, 'j_min': 0.02592078517329288}"
3.36,0.161,0.4001060167311346,4.656260851138873,-683.7024197856946,88.86123171090728,0.0012110703588934892,1.2664129490858554e-06,"{'29a': 0.011716191687245775, '29b': 1.2664129490858554e-06, '29c': 1.4519419395617538e-05, '29d': 8.508865288293945e-06, 'j_min': 0.02592078517329288}"
3.36,0.065,0.549113832280756,26.671665717082835,-23578.039549131277,1170.5005654961897,0.00020560021543128456,7.2988887522626895e-09,"{'29a': 0.00035707610934083544, '29b': 7.2988887522626895e-09, '29c': 1.0373837594703441e-07, '29d': 4.9040292261759506e-08, 'j_min': 0.02592078517329288}"
3.36,0.026,0.44595660133993803,143.86078252033835,-415187.2671102991,7697.47485991526,3.088818056472083e-05,1.6877318322096234e-10,"{'29a': 1.2273720701093699e-05, '29b': 1.6877318322096234e-10, '29c': 2.6013814090199058e-09, '29d': 1.1339652530719371e-09, 'j_min': 0.02592078517329288}"
3.31,1.0,0.05443803390915628,0.17708224497945765,-0.004028460490136724,0.32582626140397786,0.02891965679612532,8.477549590460431e-05,"{'29a': 7.861193155415045, '29b': 0.09419499544955875, '29c': 8.477549590460431e-05, '29d': 0.6234676688971145, 'j_min': 0.025727231467843562}"
3.31,0.401,0.18549054002998094,0.9143538473934791,-17.600868742170274,6.333596858130007,0.006891451519758285,0.00024928673356043075,"{'29a': 0.29485596113145424, '29b': 0.00024928673356043075, '29c': 0.00146717108748831, '29d': 0.0016500050551318947, 'j_min': 0.025727231467843562}"
3.31,0.161,0.39753885386257287,4.633692718209236,-673.6974764491399,86.513380289301,0.001214991534988413,1.336082997650507e-06,"{'29a': 0.011481114417843472, '29b': 1.336082997650507e-06, '29c': 1.5318186223731068e-05, '29d': 8.843405618553295e-06, 'j_min': 0.025727231467843562}"
3.31,0.065,0.5505139257502095,26.55617828213561,-23236.794009630037,1139.606272892444,0.0002063677234681376,7.699993131173607e-09,"{'29a': 0.0003495484289377639, '29b': 7.699993131173607e-09, '29c': 1.0943923237405737e-07, '29d': 5.0965518338894805e-08, 'j_min': 0.025727231467843562}"
3.31,0.026,0.44618839460250204,143.2278627715655,-409210.1765337976,7493.539355626023,3.100551975978234e-05,1.7808445638910158e-10,"{'29a': 1.2016651956518451e-05, '29b': 1.7808445638910158e-10, '29c': 2.7449004945264636e-09, '29d': 1.1787239901845872e-09, 'j_min': 0.025727231467843562}"
3.27,1.0,0.053996043164390856,0.1754622095856644,-0.0029991273804833834,0.32074675769877226,0.029031652830687774,8.748185018672339e-05,"{'29a': 7.814673454637671, '29b': 0.09720205576302436, '29c': 8.748185018672339e-05, '29d': 0.6355975075039724, 'j_min': 0.02557133299223957}"
3.27,0.401,0.18450523754815737,0.9101144624459904,-17.38859958576376,6.198738927862578,0.006910688762413692,0.0002602515404813956,"{'29a': 0.29045977192978595, '29b': 0.0002602515404813956, '29c': 0.0015317041954662825, '29d': 0.0017017667903786056, 'j_min': 0.02557133299223957}"
3.27,0.161,0.39546161747293407,4.615513235603137,-665.7587242771732,84.66203218789934,0.001218187642835535,1.3951555216988002e-06,"{'29a': 0.011293746154453234, '29b': 1.3951555216988002e-06, '29c': 1.5995452475654653e-05, '29d': 9.122825286062354e-06, 'j_min': 0.02557133299223957}"
3.27,0.065,0.5516355545082704,26.462620623703526,-22964.01834704495,1115.1392853424827,0.0002069902306669281,8.041587062901521e-09,"{'29a': 0.0003435676957048143, '29b': 8.041587062901521e-09, '29c': 1.1429427276631307e-07, '29d': 5.258338060274545e-08, 'j_min': 0.02557133299223957}"
3.27,0.026,0.44637597415250235,142.71476058538192,-404430.9813981843,7332.040253779425,3.110093960667811e-05,1.8601600748390182e-10,"{'29a': 1.1812456898219552e-05, '29b': 1.8601600748390182e-10, '29c': 2.8671532669689413e-09, '29d': 1.2163457838880749e-09, 'j_min': 0.02557133299223957}"
3.23,1.0,0.05355024592836908,0.1738367107115622,-0.001983246269577517,0.3157111679163407,0.0291456905260871,9.02947749252722e-05,"{'29a': 7.7679169049464605, '29b': 0.10032752769474522, '29c': 9.02947749252722e-05, '29d': 0.6480111582016853, 'j_min': 0.02541447758660406}"
3.23,0.401,0.1835135102892784,0.905846549591403,-17.17694653574981,6.065198096151835,0.006930202316464695,0.0002718379084595036,"{'29a': 0.286073937710451, '29b': 0.0002718379084595036, '29c': 0.001599895486128606, '29d': 0.0017557892828768764, 'j_min': 0.02541447758660406}"
3.23,0.161,0.393367440829737,4.597155772020783,-657.8268060949008,82.82727857549096,0.0012214278381212436,1.4576498615516907e-06,"{'29a': 0.011107315885688137, '29b': 1.4576498615516907e-06, '29c': 1.671194983209069e-05, '29d': 9.414897354099864e-06, 'j_min': 0.02541447758660406}"
