x,j,-eps1*_our,eps2*_our,j1*_our,j2*_our,zeta*2_our,n_t_our,-eps1*_paper,eps2*_paper,j1*_paper,j2*_paper,zeta*2_paper,n_t_paper,-eps1*_relerr,eps2*_relerr,j1*_relerr,j2*_relerr,zeta*2_relerr,n_t_relerr
0.336,1.0,-0.010532073416112845,0.22921523987243902,-0.024766743516702987,0.7213350055006685,0.1199924511265306,1.729690867768691e-05,0.141,0.314,-0.0252,0.468,0.147,4.1e-05,-1.0746955561426443,-0.2700151596419139,0.017192717591151326,0.5413141143176677,-0.18372482226849923,-0.5781241785930022
0.336,0.401,0.01575731657108944,0.8049922279885027,-0.040975680296772246,0.25387995443273376,0.02066131688341786,0.003919924462076278,0.14,0.436,0.537,0.671,0.0587,0.013,-0.8874477387779325,0.8463124495149144,-1.0763048050219222,-0.6216394121717828,-0.6480184517305305,-0.6984673490710555
0.336,0.161,0.05837821843898405,2.2581227248136595,0.09077654800639942,0.3401565112906758,0.0038729067378026464,0.0004981567165700116,0.133,0.755,1.51,0.699,0.024,0.0029,-0.561066026774556,1.9908910262432578,-0.939883080790464,-0.5133669366370875,-0.8386288859248897,-0.8282218218724098
0.336,0.065,0.2628727541078487,7.2880153568097255,3.168900327258507,0.8012493969215416,0.0012118449694913228,4.782362747303073e-05,0.129,1.37,3.83,0.703,0.0097,0.0004,1.037773287657742,4.319719238547244,-0.17261088061135593,0.13975732136776908,-0.8750675289184203,-0.8804409313174232
0.336,0.026,1.6521819041697652,35.1502267345447,68.7705453103014,2.044820435213974,0.0008233404960629855,2.055913372512084e-06,0.129,2.19,9.58,0.704,0.0039,4.1e-05,11.807611660230737,15.050331842257856,6.178553790219353,1.9045744818380312,-0.7888870522915422,-0.9498557714021443
3.31,1.0,-0.0026150858800601524,0.5554823176636927,-0.0023780363397143713,0.17800190281170847,0.07283462213986193,0.00028404897058212364,0.00147,0.445,-0.00503,0.0671,0.0299,0.002,-2.7789699864354778,0.24827487115436564,0.5272293559215961,1.6527854368361914,1.4359405397947136,-0.8579755147089382
3.31,0.401,0.020315842306378763,2.0664774895802913,-0.002603943420987952,0.06421501882237285,0.012878314355394034,0.05772675538397442,0.00467,0.866,0.0054,0.0919,0.0128,0.33,3.3502874317727547,1.3862326669518374,-1.4822117446273986,-0.30125115536046954,0.006118309015158837,-0.8250704382303805
3.31,0.161,0.03809680032585997,5.670848606670251,0.005872953763970654,0.08562310091130433,0.0023830416137224654,0.0076655337357826375,0.00633,1.57,0.00254,0.0948,0.00522,0.1,5.018451868224324,2.6120054819555736,1.312186521248289,-0.09680273300311883,-0.5434786180608303,-0.9233446626421737
3.31,0.065,0.145976911739685,16.91825302890935,0.1990353226459992,0.20078283828355267,0.000717146817671411,0.0008612465073905928,0.00552,2.37,0.0695,0.0953,0.00208,0.011,25.445092706464674,6.138503387725464,1.8638175920287654,1.1068503492502904,-0.6552178761195139,-0.9217048629644916
3.31,0.026,1.0041008989804865,85.19147514695334,4.316084361430974,0.512269876613562,0.0005032520922311168,3.396614262185833e-05,0.00478,2.73,0.175,0.0954,0.000828,0.00073,209.06294957750762,30.205668551997558,23.663339208176996,4.3697052055928935,-0.39220761807836135,-0.9534710375043037
32.7,1.0,0.0030157385164871044,1.4595045551705017,-0.0002860682891453679,0.04762676745740253,0.052669638948010106,0.003967713431255668,0.00196,1.03,-0.000258,0.0157,0.0162,0.037,0.5386421002485227,0.4169947137577686,-0.10879181839289896,2.03355206735048,2.2512122807413646,-0.892764501857955
32.7,0.401,-0.0024078558718547654,4.839129510400177,-0.00018614568347059292,0.01773633687093417,0.008401745457363826,1.027409394921238,0.00159,1.8,0.000394,0.0212,0.00649,7.0,-2.514374762172808,1.688405283555654,-1.4724509732756164,-0.16338033627669007,0.2945678670822536,-0.853227229296966
32.7,0.161,-0.0008939475116483199,11.303477351008558,0.00044734851245090785,0.023583716662428953,0.0014331879389304035,0.1883015463711483,0.00283,2.52,0.00145,0.022,0.00254,2.0,-1.3158825129499363,3.4855068853208566,-0.6914837845166153,0.07198712101949793,-0.4357527799486601,-0.9058492268144258
32.7,0.065,0.08351058057694265,38.81602653884529,0.01508816208108757,0.0553022622317084,0.0004847313664820475,0.01596819660732274,0.00338,2.77,0.00377,0.0221,0.00101,0.13,23.707272360042204,13.01300597070227,3.00216500824604,1.5023648068646334,-0.5200679539781707,-0.8771677184052097
32.7,0.026,0.7420065259614222,227.69063427021078,0.32792520659171814,0.14120230162198016,0.00037261636931043676,0.0004640744831239458,0.00349,2.81,0.00945,0.0221,0.000402,0.37,211.60931975971985,80.02869546982589,33.701080062615674,5.38924441728417,-0.0730936086805056,-0.9987457446402055
323.0,1.0,-0.01719444569733765,2.72122667443442,3.4934535569281206e-05,0.008358772107107743,0.011462963798225098,0.12881236079626132,0.00364,1.97,-4.67e-06,0.00305,0.00599,0.97,-5.723748817949904,0.3813333372763554,8.480628601559145,1.74058101872385,0.9136834387687979,-0.8672037517564316
323.0,0.401,-0.01719444569733765,2.72122667443442,5.149170203275358e-08,0.00020321502166490639,0.0018432560417183945,316.999169147044,0.00464,2.54,2.03e-05,0.00425,0.00227,0.036,-4.705699503736562,0.07134908442299999,-0.9974634629540515,-0.9521847007847278,-0.18799293316370283,8804.532476306778
323.0,0.161,-0.01719444569733765,2.72122667443442,4.81748808453033e-10,1.245484308700341e-05,0.00029713148461379285,316.999169147044,0.00493,2.68,5.99e-05,0.00442,0.000889,32.0,-4.487717179987352,0.015383087475529795,-0.9999919574489406,-0.9971821621975105,-0.6657688587021453,8.906224035845124
323.0,0.065,-0.01719444569733765,2.72122667443442,5.082883155729522e-12,8.128805633331614e-07,4.843102204750105e-05,316.999169147044,0.00497,2.7,0.000153,0.00444,0.000355,110.0,-4.459647021597113,0.007861731272007346,-0.9999999667785415,-0.999816918792042,-0.8635745857816871,1.8818106286094907
323.0,0.026,-0.01719444569733765,2.72122667443442,5.191011248778681e-14,5.195503680457665e-08,7.748963527600167e-06,316.999169147044,0.00498,2.7,0.000382,0.00445,0.000142,160.0,-4.452699939224427,0.007861731272007346,-0.9999999998641096,-0.9999883247108303,-0.9454298343126748,0.9812448071690248
3180.0,1.0,-0.0005207144316042368,1.48587657293665,1.0745875652210072e-07,0.000463591968269729,0.0003471429544028245,41.87653147721447,0.000839,1.96,3.67e-08,0.000307,0.000603,95.0,-1.6206369864174457,-0.2418997076853826,1.9280315128637802,0.5100715578818535,-0.42430687495385655,-0.5591944055030056
3180.0,0.401,-0.0005207144316042368,1.48587657293665,1.5838865985989332e-10,1.1270656822369957e-05,5.582093421092859e-05,103055.52668220569,0.000853,1.96,2.54e-07,0.000459,0.000238,32000.0,-1.6104506818338062,-0.2418997076853826,-0.9993764225989767,-0.9754451921081265,-0.7654582596179471,2.2204852088189275
3180.0,0.161,-0.0005207144316042368,1.48587657293665,1.4818610600877032e-12,6.907671542193074e-07,8.998292521075616e-06,103055.52668220569,0.000856,1.96,7.09e-06,0.000478,9.53e-05,44000.0,-1.6083112518741083,-0.2418997076853826,-0.9999997909927982,-0.9985548804305036,-0.9055793019824175,1.3421710609592201
3180.0,0.065,-0.0005207144316042368,1.48587657293665,1.563496679034466e-14,4.508376296123478e-08,1.4666789823519336e-06,103055.52668220569,0.000856,1.96,1.8e-06,0.000481,3.82e-05,43000.0,-1.6083112518741083,-0.2418997076853826,-0.9999999913139074,-0.9999062707630744,-0.961605262242096,1.3966401554001322
3180.0,0.026,-0.0005207144316042368,1.48587657293665,1.5967569191802817e-16,2.881516264007105e-09,2.3466863717630938e-07,103055.52668220569,0.000856,1.96,4.49e-06,0.000482,1.53e-05,43000.0,-1.6083112518741083,-0.2418997076853826,-0.9999999999644374,-0.9999940217504897,-0.9846621805767117,1.3966401554001322
