v,energy_rate
0.0,0.0
54545.454545454544,0.0
109090.90909090909,0.0
163636.36363636365,0.0
218181.81818181818,0.0
272727.2727272727,0.0
327272.7272727273,0.0
381818.1818181818,0.0
436363.63636363635,0.0
490909.0909090909,0.0
545454.5454545454,0.0
600000.0,0.0
