v,drift_par,drift_par_err,diff_par,diff_par_err,diff_perp,diff_perp_err,acceptance,blocks,accepts
0.0,-0.012517458486532568,0.009592067026305382,53169.43855122165,1912.6908510962242,103350.31171664795,3274.093295781868,0.14154281670205238,10,3000
54545.454545454544,-0.1155022602773111,0.006876643305744673,58799.33826598212,1401.985448750077,116454.85125163155,2529.643824480432,0.1405942450089043,10,3000
109090.90909090909,-0.2878184859036256,0.010330204280011234,83217.80913901303,2161.6100600955856,126782.37481519468,3998.7733874523465,0.14406454091432963,10,3000
163636.36363636365,-0.4328918177545951,0.015412840249274471,114056.35176952447,3273.2652759388634,152362.31866155055,4520.036193171382,0.15233839435332353,10,3000
218181.81818181818,-0.6619727097364454,0.024195478569558615,178797.06027908312,7263.492035945846,186338.32462612184,8491.094547823628,0.15985506474130123,10,3000
272727.2727272727,-0.8303060292375856,0.022608076407957506,235179.05669358195,7916.427924155332,230902.24507652796,5395.457707876723,0.17448961786773687,10,3000
327272.7272727273,-1.0967491233219397,0.02640972288968084,338749.9469181143,10637.055748534427,289348.9936183033,5739.636676494971,0.18392495861688432,10,3000
381818.1818181818,-1.3971869766612153,0.03852836199856696,472247.7134423529,13902.360277621608,345289.6810001439,11292.549769265703,0.19837333862328904,10,3000
436363.63636363635,-1.787784563584053,0.036619303008563434,658050.8156635759,18653.70361192553,445677.63022917893,9840.481797327477,0.21460762572430073,10,3000
490909.0909090909,-2.1794544058209295,0.06094470441283291,849250.1582318784,31457.61572919283,580616.9737976796,19046.398242927684,0.23155294844087682,10,3000
545454.5454545454,-2.6241694084797,0.05168390960828977,1133202.3886790676,21452.665128753924,712917.0326243163,13399.656418597802,0.2405002405002405,10,3000
600000.0,-3.1061525160177696,0.05286094449268233,1419923.27117293,31815.44789124454,887546.6514126295,18904.71896268283,0.25573267411132894,10,3000
