v,drift_par,drift_par_err,diff_par,diff_par_err,diff_perp,diff_perp_err,total_diff,total_diff_err,cross_section,acceptance,blocks,accepts
0.0,2.674575825390807e-11,1.3435615657236273e-10,4.9305849290149624e-05,8.767344677588948e-06,0.00013115335530483488,3.396311744451993e-05,0.0001804592045949845,3.507648327934118e-05,2e-28,0.019480711335589172,157,50110
66666.66666666667,-2.345631050012846e-10,1.2844412409196113e-10,4.7531357254589175e-05,3.365060511901229e-06,0.00010330201494841902,8.669737262120055e-06,0.0001508333722030082,9.299891205973858e-06,4.4989877277612534e-32,0.020376790364583335,150,50078
133333.33333333334,-9.042510695955233e-11,1.0852710452149234e-10,3.8541578663090226e-05,3.862349327857383e-06,8.700005101707465e-05,6.653580959172019e-06,0.00012554162968016487,7.693366097532134e-06,1.12493672230937e-32,0.019982830371732027,153,50092
200000.0,-3.8951328871199087e-10,9.322186228808837e-11,3.403439721976255e-05,3.1740330969283043e-06,0.0001114399235874481,1.835632318813826e-05,0.00014547432080721064,1.8628716732179346e-05,4.9998750031249214e-33,0.01764304100433526,173,50008
266666.6666666667,-1.966337573794109e-10,7.775757611062018e-11,2.7050016416773113e-05,5.284142498688004e-06,7.749100546179271e-05,6.385076390991323e-06,0.00010454102187856583,8.28802524520983e-06,2.812460449774925e-33,0.018169948032924106,168,50013
333333.3333333334,-2.120440447071814e-10,5.959046487621158e-11,1.9064607230962157e-05,8.844061408931829e-06,6.19151107504866e-05,5.457922024925037e-06,8.097971798144876e-05,1.0392609635463032e-05,1.7999838001457983e-33,0.01706392938198324,179,50044
400000.0,-2.265543937723892e-10,4.767926083277307e-11,1.3773287542385712e-05,3.881765318063929e-06,6.95080830825793e-05,9.98189140815116e-06,8.328137062496501e-05,1.071010074969633e-05,1.2499921875488279e-33,0.017242948887711863,177,50004
466666.6666666667,-1.5864397647352766e-10,2.8914308060695433e-11,7.492661179306532e-06,1.2355696070503706e-06,6.18570216579138e-05,6.28250604467375e-06,6.934968283722034e-05,6.4028520563284e-06,9.183631299652194e-34,0.016770247574690936,182,50007
533333.3333333334,-1.138785763633212e-10,2.328879479023141e-11,4.973760803533683e-06,6.954760556203259e-07,4.7108499477544005e-05,3.533844958955868e-06,5.208226028107769e-05,3.6016311773804667e-06,7.031225280848622e-34,0.01651248416385135,185,50050
600000.0,-1.1486525498232551e-10,2.5631683943765456e-11,6.305334706750236e-06,2.1608195788715963e-06,5.3391278558809426e-05,5.250283686274755e-06,5.9696613265559665e-05,5.677554054238292e-06,5.555540123499657e-34,0.01659194282863451,184,50019
