v,drift_par,diff_par,diff_perp
0.0,7.2380696864766185e-09,0.11945284770971272,0.23936251920888277
66666.66666666667,-3.5030305990012824e-07,0.1327299914729139,0.23870576194339072
133333.33333333334,-6.629383083107308e-07,0.16905698250145532,0.23692097969122042
200000.0,-9.05073695255279e-07,0.22070246897326182,0.23748745539056215
266666.6666666667,-1.0891890620554913e-06,0.2799442360758753,0.2434804907682668
333333.3333333334,-1.2120185996841127e-06,0.3421462033751406,0.2597355667150343
400000.0,-1.2931379098551561e-06,0.4013221722133793,0.2840544575869923
466666.6666666667,-1.345922730326306e-06,0.4567311651147332,0.31720136037315666
533333.3333333334,-1.3823457967379103e-06,0.5083891965127209,0.35554782882044533
600000.0,-1.4073418189821137e-06,0.5581777939688893,0.3997307716143451
