v,drift_par,drift_par_err,diff_par,diff_par_err,diff_perp,diff_perp_err,acceptance,blocks,accepts
0.0,2.5055824345791153e-11,1.5185664302145387e-10,3.386872607819311e-05,1.9814889849995292e-06,8.862084087364055e-05,1.2972086322761121e-05,0.010645187800274136,100,25000
66666.66666666667,-5.858482595710607e-11,1.4202132114036187e-10,3.4752559475409986e-05,2.5745932804657377e-06,8.720437205387965e-05,6.3728421989845066e-06,0.011091191331479773,100,25000
133333.33333333334,-5.266462284978073e-10,1.3221007325621093e-10,3.7674907149166114e-05,4.65958687789771e-06,9.146007721429782e-05,9.6140907695068e-06,0.011406941260640395,100,25000
200000.0,-1.3842484117024566e-10,1.0173103955478924e-10,2.1677893055889516e-05,1.2452770307966983e-06,7.344361881169598e-05,8.105556851674338e-06,0.009745927566706976,100,25000
266666.6666666667,-9.584253247933165e-11,9.213293102765306e-11,1.9305356291568388e-05,1.8818926422469816e-06,7.354232714842758e-05,6.880974071334182e-06,0.009302761729480155,100,25000
333333.3333333334,-6.717351686082096e-11,6.212445264608942e-11,1.1976341200264994e-05,1.3139295772911026e-06,5.200331006137714e-05,3.987904130266128e-06,0.008548238908916463,100,25000
400000.0,-2.0701480902733095e-10,8.696583332912877e-11,2.225126099102665e-05,7.413102438917571e-06,9.495415521267302e-05,3.021870308114938e-05,0.007616833079235782,100,25000
466666.6666666667,-4.8691757766616395e-11,6.303154711211999e-11,1.431369179440452e-05,8.83359162160772e-06,8.125905158423707e-05,2.1774368822129374e-05,0.00673644001779498,100,25000
533333.3333333334,-9.783497207545959e-11,3.537297534178865e-11,5.789771116736047e-06,1.570095515173253e-06,6.812855980328604e-05,1.7701702948259313e-05,0.00604869489729679,100,25000
600000.0,-6.798176511085381e-11,2.152153621768951e-11,2.61221148429203e-06,2.664916841584129e-07,4.407347593179553e-05,7.780098574939755e-06,0.005600270605075637,100,25000
