v,drift_par,drift_par_err,diff_par,diff_par_err,diff_perp,diff_perp_err,acceptance,blocks,accepts
0.0,1.9454294955824873e-07,0.0,0.15519313020419773,0.0,0.4849706162094704,0.0,0.02021018593371059,1,25
66666.66666666667,-1.1441483094013822e-06,0.0,0.28014887895438834,0.0,0.30183521461802926,0.0,0.02653927813163482,1,25
133333.33333333334,-2.0915188961864236e-07,0.0,0.08088525270255324,0.0,0.2447026327852498,0.0,0.012212994626282364,1,25
200000.0,-1.3775464680836673e-06,0.0,0.4595010526701071,0.0,0.176430102784663,0.0,0.01721763085399449,1,25
266666.6666666667,-9.719626891108568e-07,0.0,0.2759542199335498,0.0,0.19849574171061152,0.0,0.012345679012345678,1,25
333333.3333333334,-7.064670501097682e-07,0.0,0.1829006452735439,0.0,0.06396562900041182,0.0,0.011251125112511251,1,25
400000.0,-2.2480825674599568e-06,0.0,1.0873550784767796,0.0,0.22294129422445957,0.0,0.010785159620362382,1,25
466666.6666666667,-1.3029505585581033e-06,0.0,0.6246199979643047,0.0,0.07777777581845176,0.0,0.00922509225092251,1,25
533333.3333333334,-2.132023565872589e-06,0.0,1.0398450444972624,0.0,0.12538271726605288,0.0,0.008463100880162491,1,25
600000.0,-2.5000170489052743e-06,0.0,1.4948345816713904,0.0,0.19313208264920118,0.0,0.00797702616464582,1,25
