x_center   gbar_MC_norm   gbar_MC_raw      gbar_paper   gbar_err_paper
     0.225  1.000000e+00  6.283465e-02       1.0000          0.0400
     0.303  1.206789e+00  7.582820e-02       1.0700          0.0600
     0.495  1.998192e+00  1.255557e-01       1.1300          0.0400
      1.04  4.855852e+00  3.051158e-01       1.6000          0.1600
      1.26  5.583923e+00  3.508638e-01       1.3400          0.1800
      1.62  7.005612e+00  4.401952e-01       1.3700          0.1400
      2.35  8.134306e+00  5.111163e-01       1.5500          0.1500
         5  1.102688e+01  6.928704e-01       2.1100          0.3400
       7.2  1.030215e+01  6.473320e-01       2.2200          0.4400
      8.94  1.010568e+01  6.349868e-01       2.2000          0.3500
      12.1  1.029796e+01  6.470685e-01       2.4100          0.2200
      19.7  1.111091e+01  6.981502e-01       3.0000          0.1700
      41.6  1.465542e+01  9.208681e-01       3.5000          0.4300
      50.3  1.008137e+01  6.334595e-01       3.7900          0.3000
      64.6  1.210561e+01  7.606521e-01       3.6100          0.3000
      93.6  7.976551e+00  5.012038e-01       3.6600          0.1800
       198  1.077798e+01  6.772305e-01       4.0300          0.4400
       287  5.717324e+00  3.592460e-01       3.9800          0.9900
       356  2.123471e+01  1.334276e+00       3.3100          0.6800
       480  4.200081e+00  2.639106e-01       2.9200          0.5300
       784  5.468539e+00  3.436137e-01       2.3500          0.1800
  1.65e+03  0.000000e+00  0.000000e+00       1.5700          0.5400
     2e+03  0.000000e+00  0.000000e+00       0.8500          0.1200
  2.57e+03  0.000000e+00  0.000000e+00       0.7400          1.0500
  3.73e+03  0.000000e+00  0.000000e+00       0.2000          0.1400
chi^2/dof = 555.238 (target: < 2.0 for good agreement)
max |residual| = 47.711 sigma
