X_tab,g0_table
0.0,1.0
0.44773461466332454,1.3
1.0959355144943643,1.55
2.034358394435676,1.79
3.3492351410627412,2.03
5.296538261026657,2.27
8.115716393040305,2.53
12.197138159658358,2.82
18.10595372823165,3.13
26.660350558516747,3.48
38.646394072572605,3.88
56.39745704544619,4.32
82.09628535834376,4.83
119.30136866321547,5.43
173.16445560511082,6.12
251.1439110235128,6.94
360.4052843722859,7.93
522.2189401080007,9.11
756.4821706418094,10.55
1095.6331584284585,12.29
1586.633783044449,14.36
2297.472383122332,16.66
3326.5780298938994,18.8
4768.515469491679,19.71
6903.992640355296,15.7
9995.596859437876,0.0
