x,gbar_mean,gbar_std,gbar_sem
0.1271061799614745,0.9454394650641197,0.002982019999707301,0.0009429975227249715
0.2053525026457146,1.0545605349358809,0.0029820199997072755,0.0009429975227249634
0.3317671127842857,1.1775114368961854,0.01201774045073576,0.0038003432153063564
0.5360023165391793,1.3072879510847497,0.013986980350788087,0.004423071549651125
0.8659643233600655,1.4621100604096606,0.013682265348456889,0.004326712205192114
1.3990503141372939,1.630770735407952,0.017273006888309322,0.00546220438068351
2.2603030271419207,1.7997049887826346,0.025905258424833346,0.00819196199977392
3.651741272548378,2.0940225790865985,0.031142875179604915,0.009848241845387693
5.899746255923564,2.3829007385393863,0.06770896698343735,0.021411455368480232
9.531618832347878,2.600144823289196,0.15291547121581597,0.048356117851989566
15.399265260594929,2.7848867415638843,0.17595330042856366,0.05564131911781422
24.87902367238837,2.749482597809961,0.1632708937881619,0.05163078999820286
40.19450333615126,2.6746300778610084,0.1862030849984888,0.0588825855945155
64.93816315762116,3.8987403048240084,0.4322848687796617,0.13670047833707435
104.91397291363101,3.1408556353548693,0.5968430995628274,0.1887383600373181
169.4988151390347,2.784111634335606,0.715926991415481,0.22639599312647346
273.8419634264363,3.709418918373749,1.6675481444682931,0.5273250244507316
442.4185553847919,5.854744185465309,3.6096220541134234,1.1414627183373975
714.7705767941857,4.652470658287701,4.127207086679944,1.3051374769096606
1154.7819846894588,1.4805128758340387,3.05740788459938,0.966837265149128
1865.6635785769129,0.0,0.0,0.0
3014.162529877392,0.0,0.0,0.0
4869.675251658637,0.0,0.0,0.0
7867.438076599402,0.0,0.0,0.0
